Year,Make,Model,Condition,Price,SellerName,SellerRating,StreetName,State,ExteriorColor,MinMPG,MaxMPG,FuelType,Mileage
2019,Subaru,Outback 2.5i Limited,Used,33874,Crown Honda of Southpoint,4.2,951 Southpoint Autopark Boulevard Durham,NC,Crystal Black Silica,25,32,Gasoline,23899
2020,Tesla,Model Y Long Range,Used,67900,Lindsay Volkswagen of Dulles,4.8,22455 Lindsay Cars Ct Sterling,VA,Black,127,114,Electric,25801
2020,Nissan,Leaf SV,Used,29995,Fitzgerald Toyota Gaithersburg,4.7,905 N Frederick Ave Gaithersburg,MD,Gun Metallic,123,99,Electric,14158
2021,Mazda,CX-30 Premium Package,Used,30999,Treasure Coast Lexus,4.8,5121 US-1 Fort Pierce,FL,Deep Crystal Blue Mica,25,33,Gasoline,10697
2019,Honda,CR-V EX,Used,30722,BMW of Lancaster,4.6,1530 Manheim Pike Lancaster,PA,Modern Steel Metallic,27,33,Gasoline,17157
2020,Tesla,Model Y Long Range,Used,68995,NEXCAR,1.6,2980 W Oakland Park Blvd Oakland Park,FL,Gray,127,114,Electric,14099
2019,Honda,CR-V EX-L,Used,28999,CarVision Nissan,4.5,661 Airport Rd. Hazleton,PA,Gray,27,33,Gasoline,50629
2019,Subaru,Crosstrek 2.0i Premium,Subaru Certified,27264,Subaru of Wyoming Valley,4.8,1470 PA-315 Wilkes-Barre,PA,Gray,27,33,Gasoline,49849
2019,Subaru,Forester Touring,Used,37000,New England Automax - Framingham,4.5,1199 Worcester Rd Framingham,MA,Crystal White Pearl,26,33,Gasoline,12841
2019,Honda,CR-V EX-L,Used,28888,Herb Connolly Hyundai,4.6,520 Worcester Rd Framingham,MA,Black,27,33,Gasoline,36920
2018,Honda,Accord EX,Used,28993,Lexus of Watertown,4.9,330 Arsenal St Watertown,MA,Black,30,38,Gasoline,29151
2019,Toyota,Corolla SE,Used,23600,Ira Toyota of Danvers,4.4,99B Andover St Danvers,MA,Classic Silver Metallic,28,35,Gasoline,11632
2018,Lexus,RX 450h 450H,Used,43761,Lexus Santa Monica,4.7,1501 Santa Monica Blvd Santa Monica,CA,Caviar,31,28,Hybrid,43136
2017,Honda,Accord EX-L,Used,25956,AutoNation Acura Stevens Creek,4.8,4747 Stevens Creek Blvd Santa Clara,CA,Crystal Black Pearl,27,36,Gasoline,40632
2019,Mazda,CX-5 Touring,Used,29097,Hayward Mitsubishi,2.7,25601 Mission Blvd Hayward,CA,Jet Black Mica,25,31,Gasoline,34687
2020,Honda,CR-V EX-L,Honda Certified,36389,Honda of  Seattle,4.6,2005 Airport Way S Seattle,WA,Sonic Gray Pearl,27,32,Gasoline,19352
2019,Mazda,CX-5 Grand Touring,Used,29500,Silver Star Motorcars,4.2,19353 Preston Rd Dallas,TX,Deep Crystal Blue Mica,25,31,Gasoline,13602
2019,Honda,CR-V EX-L,Honda Certified,32995,Luther Hopkins Honda ,4.8,250 5th Ave S Hopkins,MN,Crystal Black Pearl,27,33,Gasoline,17998
2018,Subaru,Forester 2.5i Limited,Used,28995,Luther Subaru of White Bear,4.7,3505 Highway 61 Vadnais Heights,MN,Venetian Red Pearl,26,32,Gasoline,43574
2019,Honda,CR-V EX-L,Used,31369,Bergstrom Imports of Oshkosh,4.8,3245 S Washburn St Oshkosh,WI,Blue,27,33,Gasoline,40390
2019,Honda,CR-V EX-L,Used,32490,Hennessy Lexus of Atlanta,4.6,5955 Peachtree Industrial Blvd Atlanta,GA,Gunmetal Metallic,28,34,Gasoline,34187
2018,Honda,Accord EX-L,Honda Certified,31995,Hendrick Honda,4.8,8901 South Blvd Charlotte,NC,Lunar Silver Metallic,30,38,Gasoline,40535
2020,Toyota,Corolla LE,Used,17000,Auto Boutique,4.8,10100 Atlantic BLVD Jacksonville,FL,White,30,38,Gasoline,69785
2020,Mazda,CX-5 Grand Touring,Used,31998,CarMax Orlando - Now offering Curbside Pickup and Home Delivery,2.2,6375 S Semoran Blvd Orlando,FL,Machine Gray Metallic,25,31,Gasoline,14209
2019,Honda,CR-V EX-L,Used,34295,Hendrick Southpoint Auto Mall,4.8,200 Kentington Dr Durham,NC,Lunar Silver Metallic,27,33,Gasoline,12111
2020,Tesla,Model X Long Range,Used,97488,Rolls-Royce Motor Cars Raleigh,4.6,5401 Capital Blvd Raleigh,NC,–,99,93,Electric,44655
2016,Nissan,Versa 1.6 S+,Used,7995,Patriot Auto Group LLC,5,3542C RICHMOND HWY Stafford,VA,Brilliant Silver,31,40,Gasoline,94289
2019,Honda,CR-V EX-L,Honda Certified,30595,Braman Honda of Palm Beach,4.9,5200 Lake Worth Rd Greenacres,FL,Modern Steel Metallic,28,34,Gasoline,32988
2021,BMW,330 i xDrive,BMW Certified,43320,BMW of Wyoming Valley,4.7,1470 PA-315 Wilkes-Barre,PA,Phytonic Blue Metallic,25,34,Gasoline,12406
2019,Honda,CR-V EX-L,Used,29718,DELLA Mitsubishi,4.6,7 Della Dr Plattsburgh,NY,Lunar Silver Metallic,27,33,Gasoline,34724
2019,Honda,CR-V EX-L,Used,31777,Millennium Honda,4.7,286 N Franklin St Hempstead,NY,Modern Steel Metallic,27,33,Gasoline,35876
2020,Chevrolet,Malibu 1LS,Used,26579,Cutter Ford,4.7,98-15 Kamehameha Hwy Aiea,HI,Silver Ice Metallic,29,36,Gasoline,11501
2019,Nissan,Rogue SL,Used,29999,Ira Honda 128,4.7,88-98 Walkers Brook Dr Reading,MA,Magnetic Black,25,32,Gasoline,19408
2019,Subaru,Crosstrek 2.0i Premium,Used,28000,Tri-City Chrysler Dodge Jeep Ram,4.8,189 Route 108 Somersworth,NH,Crystal Black Silica,27,33,Gasoline,33153
2019,BMW,330 i,BMW Certified,32999,Stevens Creek BMW,4.4,4343 Stevens Creek Blvd Santa Clara,CA,Black,26,36,Gasoline,37300
2018,Mazda,CX-5 Grand Touring,Used,25944,Hertz Car Sales Pleasanton,3.5,4011 Pimlico Drive Pleasanton,CA,Machine Gray Metallic,25,31,Gasoline,48396
2018,Subaru,Outback 2.5i Limited,Used,29988,Schulte Subaru,3.9,7601 S Minnesota Ave Sioux Falls,SD,Crystal White Pearl,25,32,Gasoline,48604
2019,BMW,330 i xDrive,Used,36990,Porsche St. Paul,4.9,2490 W Maplewood Dr Maplewood,MN,Black Sapphire Metallic,25,34,Gasoline,49676
2020,Chevrolet,Trax LS,Used,20946,Green Chevrolet,4.5,8017 N Knoxville Ave Peoria,IL,Satin Steel Metallic,26,31,Gasoline,13900
2022,Volkswagen,Taos 1.5T SE,Volkswagen Certified,29988,Hawk Volkswagen of Joliet,4.7,2861 W Jefferson St Joliet,IL,Deep Black Pearl Effect,28,36,Gasoline,11486
2020,Tesla,Model Y Long Range,Used,67168,Chevrolet of Palatine,4.3,151 E. Lake Cook Dr. Palatine,IL,–,127,114,Electric,15768
2020,Honda,Civic LX,Used,25396,Lindsay Acura,4.3,5880 Scarborough Blvd Columbus,OH,Modern Steel Metallic,30,38,Gasoline,17659
2003,Ford,ZX2,Used,6995,Dutro Ford Company,1.6,132 S 5th St Zanesville,OH,Orange,26,33,Gasoline,93424
2018,Honda,Accord EX-L,Used,28990,Modern Ford of Boone,4.8,300 New Market Blvd Boone,NC,Crystal Black Pearl,30,38,Gasoline,63432
2020,Toyota,RAV4 LE,Toyota Certified,27995,AutoNation Toyota Pinellas Park,4.6,8501 US Hwy 19 N Pinellas Park,FL,Super White,27,35,Gasoline,38753
2019,Honda,CR-V EX-L,Used,32500,Five Star Nissan of Florence,4.5,311 N Cashua Dr Florence,SC,Obsidian Blue Pearl,28,34,Gasoline,23796
2018,BMW,328d xDrive,BMW Certified,34946,BMW of Fairfax,4.6,8427 Lee Hwy Fairfax,VA,Black Sapphire Metallic,30,40,Diesel,34850
2017,Toyota,Corolla LE,Used,13899,Ferco Motors,3.4,1740 SW 1st St Miami,FL,Gray Metallic,28,36,Gasoline,49752
2016,Hyundai,Elantra SE,Used,10899,Ferco Motors,3.4,1740 SW 1st St Miami,FL,Red,28,38,Gasoline,61455
2019,Toyota,RAV4 Limited,Used,35445,Livermore Toyota,4.3,6200 Northfront Rd Livermore,CA,Blizzard Pearl,26,35,Gasoline,52480
2018,Subaru,Impreza 2.0i,Used,22481,AutoNation Subaru Scottsdale,4.7,15678 N Northsight Blvd Scottsdale,AZ,Magnetite Gray Metallic,28,37,Gasoline,17634
2016,Subaru,Crosstrek 2.0i Premium,Used,26576,Klein Honda in Everett,4.5,10611 Evergreen Way Everett,WA,Hyper Blue,26,34,Gasoline,42696
2014,Honda,Accord Sport,Used,19998,CarMax Hulen Mall - Now offering Curbside Pickup and Home Delivery,3.7,4700 River Ranch Blvd Fort Worth,TX,Gray,26,34,Gasoline,99835
2021,Honda,CR-V EX-L,Used,37674,Honda Leander,4.9,9550 183A Leander,TX,Gray,28,34,Gasoline,16993
2020,Toyota,Camry SE,Used,29399,EchoPark Automotive Austin Delivery Center,4.9,Online Only Austin,TX,Galactic Aqua,28,39,Gasoline,19054
2019,Honda,CR-V EX-L,Honda Certified,32998,Lute Riley Honda,4.8,1331 N Central Expy Richardson,TX,Black,28,34,Gasoline,26823
2021,Toyota,RAV4 XLE,Used,33000,"Nyhus Family Sales, Inc.",4.9,456 3rd Ave SE Perham,MN,Silver,27,33,Gasoline,48705
2019,Honda,CR-V EX-L,Used,29999,Lexus of Maplewood,4.7,3000 US-61 Maplewood,MN,Maroon,27,33,Gasoline,47033
2019,Honda,CR-V EX-L,Honda Certified,33000,Wolfchase Honda,4.8,2982 N Germantown Pkwy Bartlett,TN,Gunmetal Metallic,28,34,Gasoline,33223
2019,Honda,CR-V EX-L,Honda Certified,32600,Schaumburg Honda Automobiles,4.6,750 E. Golf Rd. Schaumburg,IL,Dark Olive Metallic,28,34,Gasoline,20251
2019,Audi,A4 2.0T Premium Plus,Used,34239,EchoPark Automotive Knoxville Delivery Center,4,ONLINE ONLY Knoxville,TN,Ibis White,27,34,Gasoline,29422
2019,Toyota,Corolla LE,Used,19739,EchoPark Automotive Tampa,4.8,4636 N Dale Mabry Hwy Tampa,FL,Falcon Gray Metallic,28,36,Gasoline,46548
2019,Honda,CR-V EX-L,Honda Certified,38000,East Coast Honda,4.6,8756A Hwy 17 Bypass S Myrtle Beach,SC,Dark Olive Metallic,28,34,Gasoline,23193
2021,Tesla,Model Y Performance,Used,69898,Toyota of Vero Beach,4.4,1075 South US Highway #1 Vero Beach,FL,Black,115,106,Electric,28566
2019,Honda,CR-V EX,Honda Certified,29999,Sloane Honda,4.8,Bustleton and Haldeman Ave. Philadelphia,PA,Modern Steel Metallic,27,33,Gasoline,16737
2019,Honda,CR-V EX-L,Used,32000,Paragon Honda,4.7,Northern State Parkway Woodbury,NY,Black,27,33,Gasoline,24317
2018,Tesla,Model S 100D,Used,69950,Shift Bay Area,3.5,2000 Maritime St #100 Oakland,CA,Silver,101,102,Electric,32509
2015,Honda,Accord EX-L,Used,19750,AutoNation Honda Roseville,4.7,230 Automall Dr Roseville,CA,Silver Gray,27,36,Gasoline,89381
2020,Toyota,RAV4 XLE,Toyota Certified,32777,Dolan Toyota ,4.6,2100 Kietzke Ln Reno,NV,Ice,27,33,Gasoline,65743
2019,Tesla,Model 3 Long Range,Used,56799,Camelback Toyota,4.3,1550 E Camelback Rd Phoenix,AZ,Black,120,112,Electric,35467
2019,BMW,330 i,Used,36926,Mark Kia ,4.4,3333 N 89th St Scottsdale,AZ,Black Sapphire Metallic,26,36,Gasoline,20735
2019,BMW,330 i xDrive,Used,36990,Porsche St. Paul,4.9,2490 W Maplewood Dr Maplewood,MN,Black Sapphire Metallic,25,34,Gasoline,49676
2019,Honda,CR-V EX,Honda Certified,32879,Community Honda of Orland Park,4.5,8340 W 159th Street Orland Park,IL,Dark Olive Metallic,27,33,Gasoline,13623
2019,Honda,CR-V EX-L,Honda Certified,28998,AutoNation Honda O'Hare,4.5,1533 S River Rd Des Plaines,IL,Crystal Black Pearl,27,33,Gasoline,38535
2021,Mazda,CX-5 Touring,Used,27889,EchoPark Automotive Huntsville Delivery Center,5,ONLINE ONLY Huntsville,AL,Sonic Silver Metallic,25,31,Gasoline,46562
2019,Chevrolet,Equinox 1LT,Used,23135,Ricart Chevrolet Buick GMC,2,2589 Billingsley Road Columbus,OH,Iridescent Pearl Tricoat,26,32,Gasoline,47626
2019,Honda,CR-V EX,Used,28783,Lindsay Honda,4.2,5959 Scarborough Blvd Columbus,OH,Molten Lava Pearl,27,33,Gasoline,67174
2019,Hyundai,Kona SE,Used,23990,Preston Hyundai,4.8,7554 Market St Boardman,OH,Ultra Black,25,30,Gasoline,18206
2018,Nissan,Rogue SL,Nissan Certified,28506,#1 Cochran Nissan West Hills,4.8,7900 University Blvd Coraopolis,PA,Caspian Blue,25,32,Gasoline,15570
2019,Volkswagen,Jetta 1.4T S,Used,20000,Auto Boutique,4.8,10100 Atlantic BLVD Jacksonville,FL,Platinum Gray Metallic,30,40,Gasoline,21699
2020,Nissan,Rogue S,Used,25495,Bob Johnson Auto Group,4.7,3817 west henrietta road rochester,NY,Gun Metallic,25,32,Gasoline,14868
2021,Tesla,Model Y Performance,Used,69898,Toyota of Vero Beach,4.4,1075 South US Highway #1 Vero Beach,FL,Black,115,106,Electric,28566
2020,Honda,Civic LX,Used,24249,Miami Car Credit,4.7,19390 NW 2nd Ave Miami,FL,Modern Steel Metallic,30,38,Gasoline,10119
2017,Subaru,Legacy 2.5i Premium,Used,13399,Prestige Imports Auto Sales,3.7,654 W Bridge St Morrisville,PA,Crystal White Pearl,25,34,Gasoline,38603
2019,Honda,CR-V EX-L,Honda Certified,31387,Mohawk Honda,4.9,175 Freemans Bridge Rd Schenectady,NY,Gunmetal Metallic,27,33,Gasoline,33255
2019,Subaru,Crosstrek 2.0i Premium,Used,28167,Subaru of Keene,4.8,11 Production Ave Keene,NH,Sunshine Orange,27,33,Gasoline,11664
2020,Honda,Civic LX,Honda Certified,24965,Honda North,4.7,382 Newbury St Danvers,MA,Blue,30,38,Gasoline,19613
2019,BMW,330 i,BMW Certified,36797,BMW of Las Vegas,4.6,6900 W Sahara Ave Las Vegas,NV,Portimao Blue Metallic,26,36,Gasoline,42869
2020,Tesla,Model 3 Performance,Used,64698,Livermore Ford Lincoln,4.5,2266 Kitty Hawk Rd Livermore,CA,Pearl White Multi,118,107,Gasoline,23968
2017,Subaru,Outback 2.5i Premium,Used,26598,AutoNation Subaru Scottsdale,4.7,15678 N Northsight Blvd Scottsdale,AZ,Tungsten Metallic,25,32,Gasoline,22243
2020,Nissan,Rogue Sport S,Used,21990,Hertz Car Sales Scottsdale,3.9,7300 E McDowell Rd Scottsdale,AZ,Brilliant Silver Metallic,25,32,Gasoline,48141
2018,Mazda,CX-5 Grand Touring,Used,26499,Matt Mazzei Chevrolet,4.3,1175 PARALLEL DRIVE SUITE 100 LAKEPORT,CA,Machine Gray Metallic,25,31,Gasoline,50835
2021,Mazda,Mazda3 FWD w/Preferred Package,Used,27981,South Point Hyundai,4.7,4610 IH 35 South Austin,TX,Snowflake White Pearl,26,35,Gasoline,11945
2017,Subaru,Outback 2.5i Premium,Used,23500,"Nyhus Family Sales, Inc.",4.9,456 3rd Ave SE Perham,MN,Carbide Gray Metallic,25,32,Gasoline,81604
2019,Honda,Civic EX-L,Used,28995,Buerkle Hyundai,4.8,3360 Highway 61 N Saint Paul,MN,Black,32,42,Gasoline,34002
2020,Honda,CR-V Touring,Used,34742,Penske Honda,4.7,4140 E 96th St Indianapolis,IN,Modern Steel Metallic,27,32,Gasoline,34691
2019,Honda,CR-V EX-L,Honda Certified,34270,Crown Cadillac Buick Honda,4.7,196 Regent Blvd. Holland,MI,Platinum White Pearl,27,33,Gasoline,13529
2019,Honda,CR-V EX,Used,29800,Ide Honda,4.9,875 Panorama Trail S Rochester,NY,Gray,27,33,Gasoline,38156
2020,Chevrolet,Trax LS,Used,18490,Bomnin Chevrolet Dadeland,4.8,8455 South Dixie Hwy. Miami,FL,Summit White,26,31,Gasoline,10180
2020,Honda,Civic LX,Honda Certified,23900,Brickell Honda,4.5,690 SW 8th St Miami,FL,Modern Steel Metallic,30,38,Gasoline,25589
2020,Nissan,Rogue SL,Nissan Certified,34599,Bridgewater Nissan,4.6,1400 US-22 Bridgewater,NJ,Brilliant Silver Metallic,25,32,Gasoline,16565
2019,Honda,CR-V EX-L,Honda Certified,31850,Boch Honda,4.5,279 Boston Providence Hwy Norwood,MA,Dark Olive Metallic,27,33,Gasoline,35315
2020,Tesla,Model X Long Range,Used,94981,Surprise Ford,2.8,16825 W Waddell Rd Surprise,AZ,White,99,93,Electric,36199
2016,Honda,CR-V Touring,Used,28595,AutoNation Honda 104,4.5,2999 W 104th Ave Westminster,CO,White,25,31,Gasoline,46437
2020,Chevrolet,Equinox Premier w/1LZ,Chevrolet Certified,27994,Vandergriff Chevrolet,4.8,1200 W Interstate 20 P.O. Box 180189 Arlington,TX,Summit White,26,31,Gasoline,30477
2021,BMW,X3 sDrive30i,BMW Certified,46857,Sewell BMW of Grapevine,3.9,1111 E State Hwy 114 Grapevine,TX,Dark Graphite Metallic,25,29,Gasoline,17748
2020,Toyota,Camry SE,Used,29717,Frisco Chrysler Dodge Jeep Ram,3.8,9640 TX-121 Frisco,TX,Ruby Flare Pearl,28,39,Gasoline,30469
2021,Nissan,Sentra SV,Used,28999,Superior Nissan of Fayetteville,4.1,3372 N College Ave Fayetteville,AR,Rosewood Metallic,29,39,Gasoline,13528
2019,Toyota,RAV4 XLE Premium,Used,40982,Maplewood Toyota,4.9,2873 Maplewood Dr Maplewood,MN,Ruby Flare Pearl,25,33,Gasoline,14877
2019,Honda,Accord Sport,Honda Certified,30795,Frank Leta Honda,4.7,500 Auto Mall Dr O'Fallon,MO,Modern Steel Metallic,29,35,Gasoline,30028
2019,Buick,Encore Preferred,Buick Certified,23200,Suburban Buick GMC of Troy,4.7,1850 W. Maple Rd. Troy,MI,Ebony Twilight Metallic,25,30,Gasoline,10393
2019,Subaru,Outback 2.5i Limited,Used,29524,Ricart Used Car Factory,4.7,4255 S Hamilton Rd Groveport,OH,White,25,32,Gasoline,50216
2020,Honda,Civic LX,Used,26189,EchoPark Automotive Greenville,4.6,2930 Laurens Rd Greenville,SC,Rallye Red,30,38,Gasoline,11831
2018,Subaru,Legacy 2.5i Sport,Used,23869,Urse Dodge Chrysler Jeep RAM of Fairmont,4.4,14 Tygart Mall Loop White Hall,WV,Ice Silver Metallic,25,34,Gasoline,84827
2021,Tesla,Model Y Long Range,Used,69622,Elder Ford of Tampa,4.5,9560 North Florida Avenue Tampa,FL,Black,131,117,Electric,10601
2019,Honda,CR-V EX-L,Honda Certified,32290,Faulkner Honda,4.7,2008 Paxton St Harrisburg,PA,Platinum White Pearl,27,33,Gasoline,32032
2020,Honda,Civic LX,Used,24374,Rick Case Honda,4.6,15700 Rick Case Honda Way Davie,FL,Black,30,38,Gasoline,33272
2020,Toyota,Corolla LE,Used,7950,AE of Miami,3.5,5700 NW 27th Ave Miami,FL,Black,30,38,Gasoline,46275
2019,Mazda,Mazda3 FWD w/Premium Package,Used,25287,Manchester Mazda,4.9,80 Oakland Street Manchester,CT,Jet Black Mica,27,36,Gasoline,18563
2021,Subaru,Outback Limited,Used,33998,Planet Subaru,4.5,596 Washington Street Hanover,MA,Magnetite Gray Metallic,26,33,Gasoline,16386
2021,BMW,330 i,Used,41999,Stevens Creek BMW,4.4,4343 Stevens Creek Blvd Santa Clara,CA,White,26,36,Gasoline,13084
2019,Honda,Civic LX,Honda Certified,25955,AutoNation Honda Roseville,4.7,230 Automall Dr Roseville,CA,Modern Steel Metallic,30,38,Gasoline,32907
2017,Subaru,Outback 2.5i Limited,Used,25714,AutoNation Chevrolet Arrowhead,4.5,9055 W Bell Rd Peoria,AZ,Twilight Blue Metallic,25,32,Gasoline,62402
2019,Honda,Civic LX,Honda Certified,26792,Bell Honda,4.5,701 W. Bell Rd. Phoenix,AZ,Molten Lava Pearl,30,38,Gasoline,24531
2020,Chevrolet,Spark LS,Used,17500,Bob Howard Chevrolet,4.5,13130 Broadway Ext Oklahoma City,OK,Passion,30,38,Gasoline,19892
2019,Honda,CR-V LX,Used,28895,AutoNation Honda Lewisville,4.5,601 Waters Ridge Dr Lewisville,TX,Crystal Black Pearl,26,32,Gasoline,20293
2020,Chevrolet,Equinox 1LT,Used,26987,Landers Toyota,4.8,10825 Colonel Glenn Road Little Rock,AR,Iridescent Pearl Tricoat,25,30,Gasoline,47421
2019,Honda,Civic Sport,Used,19998,Import Auto Sales,4.2,730 Florida Ave S Golden Valley,MN,Gray,29,38,Gasoline,41343
2019,Toyota,Highlander Hybrid Limited,Toyota Certified,37900,Dahl Toyota,4.6,1077 W Service Dr Winona,MN,Blizzard Pearl,29,27,Hybrid,80506
2019,Chevrolet,Trax LS,Used,22000,Weiss Toyota of South County,4.7,11771 Tesson Ferry Rd Saint Louis,MO,Silver Ice Metallic,26,31,Gasoline,17592
2014,Chevrolet,Cruze 1LT,Used,11900,Albo Auto Sales,4.5,505 W Colfax Palatine,IL,Blue,26,38,Gasoline,42700
2020,Tesla,Model Y Long Range,Used,74025,Andy Mohr Chevrolet,4.8,2712 E. Main St. Plainfield,IN,Pearl White Multi,127,114,Electric,15478
2019,Honda,CR-V EX-L,Used,32500,Lou Sobh Honda,4.9,1105 Buford Rd Cumming,GA,Modern Steel Metallic,28,34,Gasoline,25739
2018,Tesla,Model S 75D,Used,61648,Evolution Cars,4.3,2014 Iris Dr SW Conyers,GA,Black,102,105,Electric,45275
2019,Honda,CR-V EX-L,Used,31733,Great Lakes Honda,4.7,43 Pruitt Blvd Akron,OH,Lunar Silver Metallic,27,33,Gasoline,17256
2020,Honda,Accord LX 1.5T,Honda Certified,28990,Morganton Honda,4.8,1600 Burkemont Ave Morganton,NC,Crystal Black,30,38,Gasoline,32016
2020,Toyota,Corolla LE,Used,21888,Greenway Nissan of Jacksonville,3.3,1726 Cassat Ave Jacksonville,FL,Classic Silver Metallic,30,38,Gasoline,21267
2021,Tesla,Model 3 Long Range,Used,63000,Koons Tysons Toyota,4.4,8610 Leesburg Pike Vienna,VA,Black,141,127,Gasoline,11936
2020,Nissan,Rogue SV,Used,25261,Hertz Car Sales Lynn,4.8,592-596 Lynnway Lynn,MA,Black,25,32,Gasoline,49859
2019,Buick,Encore Preferred,Used,22245,Camelback Hyundai,4.2,1500 E Camelback Rd Phoenix,AZ,Ebony Twilight Metallic,25,30,Gasoline,29841
2020,Tesla,Model Y Long Range,Used,69333,Airpark Dodge Chrysler Jeep RAM,4.3,7801 E Frank Lloyd Wright Blvd Scottsdale,AZ,White,127,114,Electric,27249
2019,Ford,Fiesta SE,Used,14600,Hertz Car Sales Scottsdale,3.9,7300 E McDowell Rd Scottsdale,AZ,Black Shadow,27,35,Gasoline,57630
2021,Toyota,Corolla Hatchback SE,Used,30509,Sport City Toyota,3.9,12650 Lyndon B Johnson Fwy Dallas,TX,Red,32,41,Gasoline,13755
2019,Honda,CR-V EX,Used,29998,Acura of Omaha,4.8,4211 South 144th St. Omaha,NE,SXGR,27,33,Gasoline,47534
2021,Toyota,RAV4 LE,Used,29995,Wilde Toyota,4.8,3225 S 108th St West Allis,WI,Silver,27,34,Gasoline,41983
2020,Buick,Encore Preferred,Used,21987,Dan Cummins Chevrolet Buick of Paris,4.8,1020 Martin Luther King Jr Blvd Paris,KY,Ebony Twilight Metallic,25,30,Gasoline,36710
2019,Toyota,RAV4 Limited,Toyota Certified,38932,Fred Anderson Toyota of Asheville,4,777 Brevard Rd Asheville,NC,Ruby Flare Pearl,25,33,Gasoline,15304
2019,Honda,CR-V EX-L,Used,30989,EchoPark Automotive Greenville,4.6,2930 Laurens Rd Greenville,SC,Platinum White Pearl,28,34,Gasoline,34225
2021,Toyota,Corolla LE,Used,24489,EchoPark Automotive Augusta Delivery Center,5,ONLINE ONLY Augusta,GA,CELESTITE,30,38,Gasoline,21567
2020,Hyundai,Elantra SEL,Used,18200,Hyundai of New Port Richey,4.4,3936 US-19 New Port Richey,FL,Quartz White Pearl,30,40,Gasoline,30385
2020,Mercedes-Benz,CLA 250 Base,Mercedes-Benz Certified,40890,Mercedes-Benz of Clearwater,4.5,19820 US Hwy 19 N. Clearwater,FL,Black,25,35,Gasoline,16028
2020,Subaru,Forester Premium,Used,28739,EchoPark Automotive Charleston Delivery Center,4.6,ONLINE ONLY Charleston,SC,Magnetite Gray Metallic,26,33,Gasoline,45164
2020,Toyota,RAV4 LE,Used,32998,CarMax Midlothian - Now offering Curbside Pickup and Home Delivery,1.8,901 Murray Olds Dr Midlothian,VA,Silver,27,34,Gasoline,15709
2020,Toyota,Camry SE,Toyota Certified,27608,Palm Beach Toyota,4.7,200 S Congress Ave West Palm Beach,FL,Galactic Aqua,28,39,Gasoline,34453
2020,Honda,Civic LX,Used,23280,Brickell Honda,4.5,690 SW 8th St Miami,FL,Rallye Red,30,38,Gasoline,30897
2019,Subaru,Impreza 2.0i Premium,Used,23990,Thompson Toyota,4.7,122 W Swamp Rd Doylestown,PA,Crystal White Silica,28,36,Gasoline,34574
2019,Honda,CR-V EX,Honda Certified,28650,Boch Honda,4.5,279 Boston Providence Hwy Norwood,MA,Crystal Black Pearl,27,33,Gasoline,64432
2021,Audi,e-tron Prestige,Used,76992,AutoNation Chevrolet Gilbert,4.5,3215 S Auto Way Gilbert,AZ,Brilliant Black,78,77,Electric,13071
2019,Toyota,Corolla LE,Used,21822,AutoNation Subaru Arapahoe,4.5,9955 E Arapahoe Rd Centennial,CO,Barcelona Red Metallic,28,36,Gasoline,42390
2019,Honda,CR-V EX,Used,33991,Fred Haas Toyota World,4.8,20400 Interstate 45 Frontage Road Spring,TX,Platinum White Pearl,27,33,Gasoline,25439
2017,Subaru,Outback 2.5i Limited,Used,27995,Luther Subaru of White Bear,4.7,3505 Highway 61 Vadnais Heights,MN,Tungsten Metallic,25,32,Gasoline,31865
2019,Toyota,RAV4 XLE,Used,29990,Libertyville Hyundai,4.5,1119 S Milwaukee Ave Libertyville,IL,Silver,25,33,Gasoline,31572
2021,Honda,CR-V Touring,Honda Certified,39963,Don Ayres Honda,4.9,4740 Lima Rd Fort Wayne,IN,Black,27,32,Gasoline,16187
2021,Kia,Seltos SX,Kia Certified,33186,Kia Of Greer,4.2,14345 E Wade Hampton Blvd Greer,SC,Gravity Gray,25,30,Gasoline,10138
2022,Hyundai,Kona SEL,Used,23700,Hyundai of New Port Richey,4.4,3936 US-19 New Port Richey,FL,Ultra Black,30,35,Gasoline,10574
2020,Toyota,RAV4 XLE,Used,33998,CarMax Lakeland - Now offering Curbside Pickup & Home Delivery,5,3223 N US Highway 98 Lakeland,FL,Gray,28,35,Gasoline,13985
2016,Tesla,Model X P90D,Used,72700,Orlando INFINITI,4.8,4237 Millenia Blvd Orlando,FL,–,89,90,Electric,46766
2020,Tesla,Model 3 Long Range,Used,54900,Koons Woodbridge Hyundai,3.9,1880 Opitz Blvd Woodbridge,VA,Midnight Silver Metallic,124,116,Gasoline,34568
2019,Honda,CR-V EX-L,Used,31588,Ourisman Lexus,3.7,15501 FREDERICK ROAD Rockville,MD,Crystal Black Pearl,27,33,Gasoline,25210
2019,Toyota,RAV4 LE,Used,26990,AutoNation Toyota Weston,4.7,4050 Weston Rd Davie,FL,Super White,26,35,Gasoline,34086
2019,BMW,330 i xDrive,Used,36570,Maserati and Alfa Romeo of Englewood Cliffs,5,340 Sylvan Ave. Englewood Cliff,NJ,Jet Black,25,34,Gasoline,32558
2019,Honda,CR-V EX-L,Used,31122,Saratoga Honda,4.6,3402 Rt 9 Saratoga Spgs,NY,White,27,33,Gasoline,23022
2019,Honda,CR-V EX-L,Honda Certified,35999,Kelly Honda,4.6,540 Lynnway Lynn,MA,Platinum White Pearl,27,33,Gasoline,11064
